Symbol,Security Name,Market Category,Test Issue,Financial Status,Round Lot Size,ETF,NextShares,Saved
AMCX,AMC Networks Inc. - Class A Common Stock,Q,N,N,100,N,N,True
AMD,"Advanced Micro Devices, Inc. - Common Stock",Q,N,N,100,N,N,True
AMED,Amedisys Inc - Common Stock,Q,N,N,100,N,N,True
AMEH,"Apollo Medical Holdings, Inc. - Common Stock",S,N,N,100,N,N,True
AMGN,Amgen Inc. - Common Stock,Q,N,N,100,N,N,True
AMHC,Amplitude Healthcare Acquisition Corporation - Class A Common Stock,S,N,N,100,N,N,True
AMHCU,Amplitude Healthcare Acquisition Corporation - Unit,S,N,N,100,N,N,True
AMHCW,Amplitude Healthcare Acquisition Corporation - Warrant,S,N,N,100,N,N,True
AMKR,"Amkor Technology, Inc. - Common Stock",Q,N,N,100,N,N,True
AMNB,"American National Bankshares, Inc. - Common Stock",Q,N,N,100,N,N,True
AMOT,"Allied Motion Technologies, Inc. - Common Stock",G,N,N,100,N,N,True
AMPG,"Amplitech Group, Inc. - Common Stock",S,N,N,100,N,N,True
AMPGW,"Amplitech Group, Inc. - Warrants",S,N,N,100,N,N,True
AMPH,"Amphastar Pharmaceuticals, Inc. - Common Stock",Q,N,N,100,N,N,True
AMRK,"A-Mark Precious Metals, Inc. - Common Stock",Q,N,N,100,N,N,True
AMRN,"Amarin Corporation plc - American Depositary Shares, each representing one Ordinary Share",G,N,N,100,N,N,True
AMRS,"Amyris, Inc. - Common Stock",Q,N,N,100,N,N,True
AMSC,American Superconductor Corporation - Common Stock,Q,N,N,100,N,N,True
AMSF,"AMERISAFE, Inc. - Common Stock",Q,N,N,100,N,N,True
AMST,Amesite Inc. - Common Stock,S,N,N,100,N,N,True
AMSWA,"American Software, Inc. - Class A Common Stock",Q,N,N,100,N,N,True
AMTB,Amerant Bancorp Inc. - Class A Common Stock,Q,N,N,100,N,N,True
AMTBB,Amerant Bancorp Inc. - Class B Common Stock,Q,N,N,100,N,N,True
AMTI,Applied Molecular Transport Inc. - common stock,Q,N,N,100,N,N,True
AMTX,"Aemetis, Inc - Common Stock",G,N,N,100,N,N,True
AMWD,American Woodmark Corporation - Common Stock,Q,N,N,100,N,N,True
AMYT,Amryt Pharma plc - American Depositary Shares,Q,N,N,100,N,N,True
AMZN,"Amazon.com, Inc. - Common Stock",Q,N,N,100,N,N,True
ANAB,"AnaptysBio, Inc. - Common Stock",Q,N,N,100,N,N,True
ANAT,"American National Group, Inc. - Common Stock",Q,N,N,100,N,N,True
ANDE,"The Andersons, Inc. - Common Stock",Q,N,N,100,N,N,True
ANEB,"Anebulo Pharmaceuticals, Inc. - Common Stock",S,N,N,100,N,N,True
ANGI,Angi Inc. - Class A Common Stock,Q,N,N,100,N,N,True
ANGL,VanEck Vectors Fallen Angel High Yield Bond ETF,G,N,N,100,Y,N,True
ANGN,Angion Biomedica Corp. - Common Stock,Q,N,N,100,N,N,True
ANGO,"AngioDynamics, Inc. - Common Stock",Q,N,N,100,N,N,True
ANIK,Anika Therapeutics Inc. - Common Stock,Q,N,N,100,N,N,True
ANIP,"ANI Pharmaceuticals, Inc. - Common Stock",G,N,N,100,N,N,True
ANIX,"Anixa Biosciences, Inc. - Common Stock",S,N,N,100,N,N,True
ANNX,"Annexon, Inc. - common stock",Q,N,N,100,N,N,True
ANPC,"AnPac Bio-Medical Science Co., Ltd. - American Depositary Shares",G,N,N,100,N,N,True
ANSS,"ANSYS, Inc. - Common Stock",Q,N,N,100,N,N,True
ANTE,"AirNet Technology Inc. - American Depositary Shares, each representing ten ordinary shares",S,N,N,100,N,N,True
ANY,Sphere 3D Corp. - Common Shares,S,N,N,100,N,N,True
ANZU,Anzu Special Acquisition Corp I - Class A Common Stock,S,N,N,100,N,N,True
ANZUU,Anzu Special Acquisition Corp I - Units,S,N,N,100,N,N,True
ANZUW,Anzu Special Acquisition Corp I - Warrant,S,N,N,100,N,N,True
AOSL,Alpha and Omega Semiconductor Limited - Common Shares,Q,N,N,100,N,N,True
AOUT,"American Outdoor Brands, Inc. - Common Stock",Q,N,N,100,N,N,True
APA,APA Corporation - Common Stock,Q,N,N,100,N,N,True
APACU,StoneBridge Acquisition Corporation - Unit,S,N,N,100,N,N,True
APDN,"Applied DNA Sciences, Inc. - Common Stock",S,N,N,100,N,N,True
APEI,"American Public Education, Inc. - Common Stock",Q,N,N,100,N,N,True
APEN,"Apollo Endosurgery, Inc. - Common Stock",G,N,N,100,N,N,True
API,"Agora, Inc. - ADS",Q,N,N,100,N,N,True
APLS,"Apellis Pharmaceuticals, Inc. - Common Stock",Q,N,N,100,N,N,True
APLT,"Applied Therapeutics, Inc. - Common Stock",G,N,N,100,N,N,True
APM,Aptorum Group Limited - Class A Ordinary Shares,G,N,N,100,N,N,True
APMIU,AxonPrime Infrastructure Acquisition Corporation - Unit,S,N,N,100,N,N,True
APOG,"Apogee Enterprises, Inc. - Common Stock",Q,N,N,100,N,N,True
APOP,Cellect Biotechnology Ltd. - American Depositary Shares,S,N,N,100,N,N,True
APP,Applovin Corporation - Class A Common Stock,Q,N,N,100,N,N,True
APPF,"AppFolio, Inc. - Class A Common Stock",G,N,N,100,N,N,True
APPH,"AppHarvest, Inc. - Common Stock",Q,N,N,100,N,N,True
APPHW,"AppHarvest, Inc. - Warrants",Q,N,N,100,N,N,True
APPN,Appian Corporation - Class A Common Stock,G,N,N,100,N,N,True
APPS,"Digital Turbine, Inc. - Common Stock",S,N,N,100,N,N,True
APR,"Apria, Inc. - Common Stock",Q,N,N,100,N,N,True
APRE,"Aprea Therapeutics, Inc. - Common Stock",Q,N,N,100,N,N,True
APTMU,Alpha Partners Technology Merger Corp. - Unit,S,N,N,100,N,N,True
APTO,"Aptose Biosciences, Inc. - Common Shares",S,N,N,100,N,N,True
APTX,Aptinyx Inc. - Common Stock,Q,N,N,100,N,N,True
APVO,Aptevo Therapeutics Inc. - Common Stock,S,N,N,100,N,N,True
APWC,"Asia Pacific Wire & Cable Corporation Limited  - Common shares, Par value .01 per share",S,N,N,100,N,N,True
APYX,Apyx Medical Corporation - Common Stock,Q,N,N,100,N,N,True
AQB,"AquaBounty Technologies, Inc. - Common Stock",S,N,N,100,N,N,True
AQMS,"Aqua Metals, Inc. - Common Stock",S,N,N,100,N,N,True
AQST,"Aquestive Therapeutics, Inc. - Common Stock",G,N,N,100,N,N,True
AQWA,Global X Clean Water ETF,G,N,N,100,Y,N,True
ARAV,"Aravive, Inc. - Common Stock",Q,N,N,100,N,N,True
ARAY,Accuray Incorporated - Common Stock,Q,N,N,100,N,N,True
ARBG,Aequi Acquisition Corp. - common stock,S,N,N,100,N,N,True
ARBGU,Aequi Acquisition Corp. - Unit,S,N,N,100,N,N,True
ARBGW,Aequi Acquisition Corp. - warrants,S,N,N,100,N,N,True
ARCB,ArcBest Corporation - Common Stock,Q,N,N,100,N,N,True
ARCC,Ares Capital Corporation - Closed End Fund,Q,N,N,100,N,N,True
ARCE,Arco Platform Limited - Class A Common Shares,Q,N,N,100,N,N,True
ARCT,Arcturus Therapeutics Holdings Inc. - Common Stock,G,N,N,100,N,N,True
ARDS,Aridis Pharmaceuticals Inc. - Common Stock,S,N,N,100,N,N,True
ARDX,"Ardelyx, Inc. - Common Stock",G,N,N,100,N,N,True
AREC,American Resources Corporation - Class A Common Stock,S,N,N,100,N,N,True
ARGX,argenx SE - American Depositary Shares,Q,N,N,100,N,N,True
ARKO,ARKO Corp. - Common Stock,S,N,N,100,N,N,True
ARKOW,ARKO Corp. - Warrant,S,N,N,100,N,N,True
ARKR,Ark Restaurants Corp. - Common Stock,G,N,N,100,N,N,True
ARLP,"Alliance Resource Partners, L.P. - Common Units Representing Limited Partnership Interests",Q,N,N,100,N,N,True
ARNA,"Arena Pharmaceuticals, Inc. - Common Stock",Q,N,N,100,N,N,True
